English,Burmese
station,ဘူတာရုံ
acting,သရုပ်ဆောင်
accept,လက်ခံ
blow,မှုတ်
strange,ထူးဆန်းတယ်။
saved,သိမ်းဆည်းခဲ့သည်။
conversation,စကားဝိုင်း
plane,လေယာဉ်
mama,အမေ
yesterday,မနေ့က
lied,လိမ်တယ်။
quick,အမြန်
lately,မကြာသေးဘူး။
stuck,ပိတ်မိ
lovely,ချစ်စရာကောင်းတဲ့
security,လုံခြုံရေး
report,အစီရင်ခံစာ
difference,ကွာခြားချက်
rid,ပစ်ပယ်
store,စတိုးဆိုင်
bag,အိတ်
bought,ဝယ်သည်။
ball,ဘောလုံး
single,တစ်ခုတည်း
doubt,သံသယ
listening,နားထောင်ခြင်း။
major,အဓိက
walking,လမ်းလျှောက်
cops,ရဲ
blue,အပြာ
deep,နက်နဲသည်။
dangerous,အန္တရာယ်ရှိသည်။
Buffy,Buffy
park,ပန်းခြံ
sleeping,အိပ်
record,မှတ်တမ်း
lord,သခင်
Erica,Erica
moved,ပြောင်းရွှေ့
join,ပူးပေါင်းပါ။
key,သော့
captain,ကပ္ပတိန်
card,ကတ်
crime,ရာဇဝတ်မှု
gentlemen,လူကြီးလူကောင်း
willing,စေတနာ
window,ပြတင်းပေါက်
return,ပြန်လာ
walked,လမ်းလျှောက်
guilty,အပြစ်ရှိသည်။
likes,ကြိုက်တယ်။
fighting,တိုက်ပွဲ
difficult,ခက်တယ်။
soul,ဝိညာဉ်
joke,ဟာသ
service,ဝန်ဆောင်မှု
magic,မှော်
favorite,အကြိုက်ဆုံး
uncle,ဦးလေး
promised,ကတိပြုသည်။
public,အများသူငှာ
bother,အနှောက်အယှက်
island,ကျွန်း
Jim,ဂျင်
seriously,အလေးအနက်ထား
cell,ဆဲလ်
lead,ခဲ
knowing,သိခြင်း။
broken,ကျိုး
advice,အကြံဉာဏ်
somehow,တစ်နည်းနည်းနဲ့
paid,ပေးဆပ်ခဲ့သည်။
losing,ရှုံး
push,တွန်း
helped,ကူညီခဲ့သည်။
killing,သတ်ဖြတ်ခြင်း
usually,များသောအားဖြင့်
earlier,စောစောက
boss,သူဌေး
Laura,လျော
beginning,အစ
liked,ကြိုက်တယ်။
innocent,အပြစ်မရှိ။
rules,စည်းကမ်း
Elizabeth,အဲလိဇဘက်
Sabrina,Sabrina
summer,နွေရာသီ
ex,ဟောင်း
cop,ရဲ
learned,သင်ယူခဲ့သည်။
thirty,သုံးဆယ်
risk,အန္တရာယ်
letting,ခွင့်ပြုခြင်း။
Phillip,ဖိလစ်
speaking,ပြောရမယ်ဆိုရင်
officer,အရာရှိ
ridiculous,ရယ်စရာကောင်းတယ်။
support,ထောက်ခံမှု
afternoon,နေ့ခင်း
born,မွေး
dreams,အိပ်မက်များ
apologize,တောင်းပန်ပါတယ်။
seat,ထိုင်ခုံ
nervous,အာရုံကြော
across,ဖြတ်ပြီး
song,သီချင်း
Olivia,အိုလီဗီယာ
charge,တာဝန်ခံ
patient,လူနာ
